fl_date,mkt_carrier,mkt_carrier_fl_num,origin,dest,predicted_delays
2020-01-01,WN,5024,PHX,DTW,4.961480140976073
2020-01-01,WN,1016,PHX,ELP,7.419618330611991
2020-01-01,WN,5191,PHX,ELP,7.419618330611991
2020-01-01,WN,3180,PHX,FLL,4.402643588800537
2020-01-01,WN,6686,PHX,GEG,6.17012663754177
2020-01-01,WN,4347,PHX,HOU,6.17012663754177
2020-01-01,WN,5076,PHX,HOU,6.17012663754177
2020-01-01,WN,5941,PHX,HOU,6.17012663754177
2020-01-01,WN,6101,PHX,HOU,6.17012663754177
2020-01-01,WN,6794,PHX,HOU,6.17012663754177
2020-01-01,WN,4676,PHX,ICT,6.448616613708982
2020-01-01,WN,948,PHX,IND,5.3012379119000705
2020-01-01,WN,4565,PHX,IND,5.3012379119000705
2020-01-01,WN,3022,PHX,LAS,7.590425515994546
2020-01-01,WN,3951,PHX,LAS,7.590425515994546
2020-01-01,WN,4044,PHX,LAS,7.590425515994546
2020-01-01,WN,4860,PHX,LAS,7.590425515994546
2020-01-01,WN,5648,PHX,LAS,7.590425515994546
2020-01-01,WN,5828,PHX,LAS,7.590425515994546
2020-01-01,WN,6355,PHX,LAS,7.590425515994546
2020-01-01,WN,6563,PHX,LAS,7.590425515994546
2020-01-01,WN,1674,PHX,LAX,7.376916534266352
2020-01-01,WN,3466,PHX,LAX,7.376916534266352
2020-01-01,WN,4657,PHX,LAX,7.376916534266352
2020-01-01,WN,4743,PHX,LAX,7.376916534266352
2020-01-01,WN,6251,PHX,LAX,7.376916534266352
2020-01-01,WN,6409,PHX,LAX,7.376916534266352
2020-01-01,WN,5496,PHX,LIT,5.95476105597246
2020-01-01,WN,3975,PHX,MCI,6.125568241355016
2020-01-01,WN,4205,PHX,MCI,6.125568241355016
2020-01-01,WN,5168,PHX,MCI,6.125568241355016
2020-01-01,WN,3407,PHX,MCO,4.631005369257649
2020-01-01,WN,3880,PHX,MDW,5.38292830490912
2020-01-01,WN,3949,PHX,MDW,5.38292830490912
2020-01-01,WN,5046,PHX,MDW,5.38292830490912
2020-01-01,WN,5971,PHX,MDW,5.38292830490912
2020-01-01,WN,6240,PHX,MDW,5.38292830490912
2020-01-01,WN,6318,PHX,MDW,5.38292830490912
2020-01-01,WN,4670,PHX,MKE,5.353222707451284
2020-01-01,WN,5109,PHX,MKE,5.353222707451284
2020-01-01,WN,4114,PHX,MSP,5.694837078216397
2020-01-01,WN,661,PHX,MSY,5.650278682029642
2020-01-01,WN,3765,PHX,MSY,5.650278682029642
2020-01-01,WN,4755,PHX,OAK,6.8644949781186835
2020-01-01,WN,5413,PHX,OAK,6.8644949781186835
2020-01-01,WN,5446,PHX,OAK,6.8644949781186835
2020-01-01,WN,6064,PHX,OAK,6.8644949781186835
2020-01-01,WN,6592,PHX,OAK,6.8644949781186835
2020-01-01,WN,4520,PHX,OKC,6.517310807830226
2020-01-01,WN,5147,PHX,OKC,6.517310807830226
2020-01-01,WN,4093,PHX,OMA,6.13856444024282
2020-01-01,WN,5830,PHX,OMA,6.13856444024282
2020-01-01,WN,3695,PHX,ONT,7.460463527116515
2020-01-01,WN,3927,PHX,ONT,7.460463527116515
2020-01-01,WN,4073,PHX,ONT,7.460463527116515
2020-01-01,WN,5162,PHX,ONT,7.460463527116515
2020-01-01,WN,5164,PHX,ONT,7.460463527116515
2020-01-01,WN,5784,PHX,ONT,7.460463527116515
2020-01-01,WN,3617,PHX,PDX,6.190549235794032
2020-01-01,WN,3940,PHX,PDX,6.190549235794032
2020-01-01,WN,5187,PHX,PDX,6.190549235794032
2020-01-01,WN,1924,PHX,PHL,4.2114138051657175
2020-01-01,WN,3162,PHX,PIT,4.695986363696665
2020-01-01,WN,4376,PHX,RDU,4.55302817593083
2020-01-01,WN,3936,PHX,RNO,6.948041970968847
2020-01-01,WN,5901,PHX,RNO,6.948041970968847
2020-01-01,WN,6498,PHX,RNO,6.948041970968847
2020-01-01,WN,1639,PHX,SAN,7.499452123779925
2020-01-01,WN,1737,PHX,SAN,7.499452123779925
2020-01-01,WN,3525,PHX,SAN,7.499452123779925
2020-01-01,WN,4297,PHX,SAN,7.499452123779925
2020-01-01,WN,4636,PHX,SAN,7.499452123779925
2020-01-01,WN,5055,PHX,SAN,7.499452123779925
2020-01-01,WN,5227,PHX,SAN,7.499452123779925
2020-01-01,WN,5771,PHX,SAN,7.499452123779925
2020-01-01,WN,5973,PHX,SAN,7.499452123779925
2020-01-01,WN,6515,PHX,SAN,7.499452123779925
2020-01-01,WN,3782,PHX,SAT,6.49874480941908
2020-01-01,WN,4088,PHX,SAT,6.49874480941908
2020-01-01,WN,4428,PHX,SAT,6.49874480941908
2020-01-01,WN,4653,PHX,SAT,6.49874480941908
2020-01-01,WN,6236,PHX,SDF,5.267819114760005
2020-01-01,WN,4900,PHX,SEA,6.008602451364787
2020-01-01,WN,6099,PHX,SEA,6.008602451364787
2020-01-01,WN,6280,PHX,SEA,6.008602451364787
2020-01-01,WN,6116,PHX,SFO,6.855211978913109
2020-01-01,WN,6189,PHX,SFO,6.855211978913109
2020-01-01,WN,6461,PHX,SFO,6.855211978913109
2020-01-01,WN,3774,SAT,STL,6.604571000362618
2020-01-01,WN,4743,SAT,STL,6.604571000362618
2020-01-01,WN,4088,SAT,TPA,6.259243429915278
2020-01-01,WN,5754,SAT,TPA,6.259243429915278
2020-01-01,WN,1765,SDF,BWI,7.144841554127009
2020-01-01,WN,4990,SDF,BWI,7.144841554127009
2020-01-01,WN,4828,SDF,DAL,6.717823590670619
2020-01-01,WN,4815,SDF,DEN,6.162700238177311
2020-01-01,WN,5065,SDF,HOU,6.573008803063669
2020-01-01,WN,6587,SDF,LAS,5.048740333508466
2020-01-01,WN,6368,SDF,MCO,6.728963189717307
2020-01-01,WN,1703,SDF,MDW,7.56071991853671
2020-01-01,WN,3611,SDF,MDW,7.56071991853671
2020-01-01,WN,4823,SDF,MDW,7.56071991853671
2020-01-01,WN,5786,SDF,PHX,5.267819114760005
2020-01-01,WN,5452,SDF,TPA,6.714110390988388
2020-01-01,WN,4900,SEA,BWI,3.7286978464758853
2020-01-01,WN,5680,SEA,DAL,4.963336740817188
2020-01-01,WN,5263,SEA,DEN,6.162700238177311
2020-01-01,WN,5482,SEA,DEN,6.162700238177311
2020-01-01,WN,6280,SEA,DEN,6.162700238177311
2020-01-01,WN,6481,SEA,DEN,6.162700238177311
2020-01-01,WN,5006,SEA,LAS,6.454186413232325
2020-01-01,WN,2129,SEA,MDW,4.846370950826959
2020-01-01,WN,5928,SEA,MDW,4.846370950826959
2020-01-01,WN,1757,SEA,OAK,6.816223382249699
2020-01-01,WN,3125,SEA,OAK,6.816223382249699
2020-01-01,WN,4852,SEA,OAK,6.816223382249699
2020-01-01,WN,4853,SEA,OAK,6.816223382249699
2020-01-01,WN,5276,SEA,OAK,6.816223382249699
2020-01-01,WN,6593,SEA,OAK,6.816223382249699
2020-01-01,WN,2078,SEA,PHX,6.008602451364787
2020-01-01,WN,6074,SEA,PHX,6.008602451364787
2020-01-01,WN,2626,SEA,SJC,6.771664986062946
2020-01-01,WN,3584,SEA,SJC,6.771664986062946
2020-01-01,WN,5260,SEA,SJC,6.771664986062946
2020-01-01,WN,5897,SEA,SJC,6.771664986062946
2020-01-01,WN,6209,SEA,SJC,6.771664986062946
2020-01-01,WN,4967,SEA,SMF,6.940615571604388
2020-01-01,WN,5351,SEA,SMF,6.940615571604388
2020-01-01,WN,6075,SEA,SMF,6.940615571604388
2020-01-01,WN,6140,SEA,SMF,6.940615571604388
2020-01-01,WN,6268,SEA,SMF,6.940615571604388
2020-01-01,WN,6416,SEA,SMF,6.940615571604388
2020-01-01,WN,5988,SEA,STL,4.890929347013714
2020-01-01,WN,1546,SFO,BUR,7.458606927275401
2020-01-01,WN,4434,SFO,BUR,7.458606927275401
2020-01-01,WN,4933,SFO,BUR,7.458606927275401
2020-01-01,WN,5268,SFO,BUR,7.458606927275401
2020-01-01,WN,5288,SFO,BUR,7.458606927275401
2020-01-01,WN,1923,SFO,DAL,5.323517109993448
2020-01-01,WN,1798,SFO,DEN,6.2685264291208505
2020-01-01,WN,1813,SFO,DEN,6.2685264291208505
2020-01-01,WN,3808,SFO,DEN,6.2685264291208505
2020-01-01,WN,4905,SFO,DEN,6.2685264291208505
2020-01-01,WN,4975,SFO,DEN,6.2685264291208505
2020-01-01,WN,6189,SFO,DEN,6.2685264291208505
2020-01-01,WN,2352,SFO,LAS,7.295226141257304
2020-01-01,WN,4908,SFO,LAS,7.295226141257304
2020-01-01,WN,4961,SFO,LAS,7.295226141257304
2020-01-01,WN,5408,SFO,LAS,7.295226141257304
2020-01-01,WN,5888,SFO,LAS,7.295226141257304
2020-01-01,WN,1879,SFO,LAX,7.438184329023139
2020-01-01,WN,3441,SFO,LAX,7.438184329023139
2020-01-01,WN,3576,SFO,LAX,7.438184329023139
2020-01-01,WN,4964,SFO,LAX,7.438184329023139
2020-01-01,WN,4971,SFO,LAX,7.438184329023139
2020-01-01,WN,4987,SFO,LAX,7.438184329023139
2020-01-01,WN,4993,SFO,LAX,7.438184329023139
2020-01-01,WN,4994,SFO,LAX,7.438184329023139
2020-01-01,WN,4911,SFO,MDW,4.619865770210961
2020-01-01,WN,1817,SFO,ONT,7.389912733154155
2020-01-01,WN,5828,SFO,ONT,7.389912733154155
2020-01-01,WN,6215,SFO,ONT,7.389912733154155
2020-01-01,WN,4972,SFO,PHX,6.855211978913109
2020-01-01,WN,5071,SFO,PHX,6.855211978913109
2020-01-01,WN,6427,SFO,PHX,6.855211978913109
2020-01-01,WN,6602,SFO,PHX,6.855211978913109
