fl_date,mkt_carrier,mkt_carrier_fl_num,origin,dest,predicted_delays
2020-01-29,NK,798,FLL,SJU,9.041636031850368
2020-01-28,AA,4320,DCA,LGA,10.099132380381898
2020-01-10,UA,2329,ORD,EWR,13.413505109091876
2020-01-03,DL,5040,CHS,ATL,6.626461765271884
2020-01-06,AA,1459,AUS,LAX,8.190547743715944
2020-01-17,UA,315,FLL,IAD,13.075603938008992
2020-01-26,AA,2495,RDU,CLT,10.255086767035536
2020-01-21,UA,5098,IAD,CKB,14.46805381884505
2020-01-12,B6,438,MCO,BDL,14.14248331178099
2020-01-04,AS,64,ANC,JNU,4.97810581900359
2020-01-05,WN,3902,PHX,OKC,6.517310807830226
2020-01-20,B6,216,SFO,JFK,11.290745955828747
2020-01-18,NK,625,MCO,BWI,9.522495390699085
2020-01-13,AA,5644,CLT,FAY,10.277365965128913
2020-01-07,DL,187,LAX,HNL,2.3618519302313232
2020-01-06,AS,657,JFK,SFO,1.2370571391573848
2020-01-23,NK,1947,BNA,MCO,9.839973963529706
2020-01-27,UA,5817,IAH,JAN,14.096733850622101
2020-01-22,WN,1926,PHX,LAX,7.376916534266352
2020-01-27,AA,5403,HPN,CLT,9.44932243599174
2020-01-22,WN,1563,BNA,SAT,6.537733406082488
2020-01-31,F9,182,DEN,OMA,16.25755785398116
2020-01-29,UA,4422,EWR,STL,13.129445333401321
2020-01-20,AA,3473,LGA,MEM,8.708539099386957
2020-01-08,AA,4087,GRB,ORD,10.173396374026488
2020-01-12,WN,3386,DAL,AUS,7.7129611055081195
2020-01-16,AS,2021,SMF,SEA,4.914981424405688
2020-01-27,UA,4656,GJT,DEN,14.354801228537049
2020-01-16,DL,4178,ABQ,LAX,5.8504030316859215
2020-01-25,WN,2253,OAK,LAX,7.438184329023139
2020-01-03,UA,3531,EWR,MSP,12.876947755009716
2020-01-23,WN,935,LAX,PHX,7.376916534266352
2020-01-11,DL,1675,ATL,GSO,6.539201572739492
2020-01-19,B6,232,LGB,SLC,15.000232438376003
2020-01-17,NK,762,TPA,ATL,10.229859930163801
2020-01-19,AA,3809,DFW,GRK,10.247660367671077
2020-01-30,DL,2395,PBI,LGA,5.185740288566844
2020-01-16,AA,2486,TPA,PHL,8.788372892554891
2020-01-03,WN,467,DAL,ABQ,6.987030567632257
2020-01-07,WN,139,DAL,BNA,6.907196774464323
2020-01-29,WN,5330,LAX,HOU,5.483184696329316
2020-01-08,AA,4081,MLU,DFW,9.952460992933833
2020-01-27,AS,1674,SEA,DEN,4.13706609097861
2020-01-26,AA,3119,PHX,SGU,10.010015588008391
2020-01-15,B6,1078,LAS,BOS,11.67134892325727
2020-01-27,WN,1899,ONT,SJC,7.445610728387598
2020-01-06,UA,1491,DEN,IAH,13.148011331812468
2020-01-31,AS,1954,SFO,SAN,5.208324199301817
2020-01-22,AA,1591,SJU,DFW,6.476906090367038
2020-01-17,DL,1569,DTW,MSP,6.127036408012019
2020-01-20,B6,266,LGB,SMF,15.373409006440065
2020-01-30,AA,5261,CLT,BTR,9.243239853628003
2020-01-18,B6,160,PHL,BOS,15.572065189439341
2020-01-26,AS,2111,PSC,SEA,5.718889155608371
2020-01-14,AA,2659,SNA,DFW,8.25924193783719
2020-01-17,DL,2286,EWR,DTW,6.201300401656608
2020-01-30,AS,833,PDX,HNL,1.2054949418584342
2020-01-27,WN,51,PHX,DAL,6.431907215138947
2020-01-04,UA,1634,IAH,MCI,13.554606697016595
2020-01-26,WN,2944,STL,ATL,7.165264152379271
2020-01-17,DL,2594,DCA,ATL,6.0917610110308384
2020-01-05,WN,1748,PDX,SMF,7.174547151584845
2020-01-04,AA,1892,LAX,DFW,8.203543942603748
2020-01-16,WN,2551,RSW,BWI,6.357643221494358
2020-01-13,WN,3216,OAK,DEN,6.287092427531999
2020-01-31,AS,3331,DAL,LAX,3.7249009262511383
2020-01-18,B6,150,PSP,JFK,11.676918722780615
2020-01-23,G4,577,AZA,MOT,12.175640829588561
2020-01-26,UA,4259,IAH,SHV,14.391933225359345
2020-01-19,WN,2572,DEN,MSP,6.801370583520782
2020-01-29,B6,371,LGA,FLL,14.094211715912007
2020-01-28,DL,1242,LAX,DTW,3.433110038554529
2020-01-08,AA,84,DFW,LAX,8.203543942603748
2020-01-09,AS,2777,PAE,LAS,4.378424070323527
2020-01-07,UA,6218,IAH,MAF,13.95191906301515
2020-01-08,WN,5445,MCO,ATL,7.31379213966845
2020-01-03,UA,3580,EWR,DFW,12.20114541284395
2020-01-24,UA,1450,PHL,IAH,12.288405605376344
2020-01-27,WN,1748,PHX,DAL,6.431907215138947
2020-01-10,B6,1827,EWR,MCO,14.352279093826956
2020-01-22,UA,5723,FAT,SFO,14.455057619957246
2020-01-27,DL,4793,JFK,BWI,6.76570675335549
2020-01-19,WN,311,BWI,RDU,7.590425515994546
2020-01-06,DL,878,SLC,BNA,4.500654947195505
2020-01-03,B6,465,BOS,RSW,13.773019943399158
2020-01-30,UA,5108,ATY,ORD,13.807104275408202
2020-01-23,AA,563,PHL,CLT,9.662831417719934
2020-01-27,DL,3619,MSN,MSP,6.684016360346442
2020-01-06,UA,776,ORD,MCO,12.88251755453306
2020-01-24,AA,1091,SJU,MIA,8.556297912415548
2020-01-11,WN,1049,BWI,DTW,7.304509140462876
2020-01-24,DL,3631,SLC,SBA,5.965512221835036
2020-01-02,WN,991,MCO,BDL,6.114428642308328
2020-01-29,UA,4684,MLI,ORD,14.490333016938425
2020-01-14,B6,23,JFK,LAX,11.496828538192485
2020-01-31,DL,1193,ATL,OMA,5.5830526545654
2020-01-03,DL,2081,LGA,PBI,5.185740288566844
2020-01-24,G4,81,PIA,LAS,11.71334746915099
2020-01-15,AS,2621,SEA,GEG,5.622345963870405
2020-01-28,AA,4612,PIT,MIA,8.61570910733122
